Code,Title,OSM_key,Description,Exposure_category
pwr-lin-cbl,Power grid - Power line cables number,cables=*,Number of different phase conductors for this power line section (number of cables),infrastructure
pwr-lin-crc,Power grid - Power line circuits number,circuits=*,Number of different and separated electrical circuits built within this power line section (number of circuits),infrastructure
pwr-plt,Power grid - Power plant,power=plant,An industrial facility for the generation of energy,infrastructure
pwr-plt-src,Power grid - Power plant Energy Source,plant:source=*,"The source of the energy generated by a power plant (oil, geothermal, nuclear, hydroelectric, wind, solar, tidal wave, gas, biomass)",infrastructure
pwr-plt-cap,Power grid - Power plant Capacity,plant:output:electricity=*,Power plants can output multiple forms of energy (yes / x W / x kW / x MW / x GW),infrastructure
agr-fml,Agriculture - Farmland area,landuse=farmland,"Area of farmland used for tillage and pasture (animals, vegetables, flowers, fruit growing)",agriculture
agr-crp,Agriculture - Farmland crop type,crop=*,The crop produced by cultivated land,agriculture
agr-anm,Agriculture - Farmland animal produce,produce=live_animal,Where the whole live animal is produced/sold,agriculture
env-fst,Natural environment - Forest,landuse=forest,Forest or woodland is an area covered by trees,natural_environment
env-fst-cls,Natural environment - Closed Forest,landuse=forest,Area covered by trees,natural_environment
env-wdl,Natural environment - Woodland,natural=wood,Area covered by trees,natural_environment
env-scr,Natural environment - Scrub,natural=scrub,"Plant community characterized by vegetation dominated by shrubs (bush), often also including grasses, herbs, and geophytes",natural_environment
env-dws,Natural environment - Dwarf-scrub and Related Communities,natural=heath,"A dwarf-shrub habitat, characterized by open, low growing woody vegetation, often dominated by heather plants",natural_environment
env-hrb,Natural environment - Herbaceous Vegetation,wetland=*,"Tall graminoid vegetation, medium tall grassland, short grassland, forb vegetation or hydromorphic fresh-water vegetation",natural_environment
sei-eco,Socio-economic indicator - Economy,Not Applicable,Measures the welfare and social security levels of communities,economic_indicator
sei-edu,Socio-economic indicator - Education,Not Applicable,"Provides information about invested resources and expected outcome of education, access and participation to education",economic_indicator
sei-env,Socio-economic indicator - Environment,Not Applicable,"Defines the underlying conditions that make an environment susceptible to damage, disaster experience and prevalence",economic_indicator
sei-gov,Socio-economic indicator - Governance and Institutional Capacity,Not Applicable,"Institutional performance and regulatory efficiency, corruption control and stability of political system",economic_indicator
sei-hlt,Socio-economic indicator - Health,Not Applicable,Population health conditions and health sector capabilities,economic_indicator
sei-idx,Socio-economic indicator - Index,Not Applicable,"Range of indexes that cover different sectors, for example, the Disaster Risk Index used by the United Nation Development programme to monitor the global evolution of risk",economic_indicator
sei-inf,Socio-economic indicator - Infrastructure,Not Applicable,"Transportation and communication infrastructure, status and access to utility lifelines",economic_indicator
sei-pop,Socio-economic indicator - Population,Not Applicable,"Defines community demographics: structure, distribution and size",population
